YearMonth,Consumption(kwh),Revenue,AvgPrice,Revenue_per_kWh
2024-05,51.1,7.9816275,135.70518481182796,0.15619623287671233
2024-06,50.1,12.147979666666666,176.68354398148148,0.24247464404524283
2024-07,55.900000000000006,15.814516166666667,241.2205880376344,0.28290726595110316
2024-08,65.60000000000001,12.130823333333334,149.51916890681005,0.18492108739837396
2024-09,73.4,13.538325166666667,80.29243287037038,0.18444584695731153
2024-10,77.9,0.9997085000000001,35.23505264336917,0.012833228498074455
2024-11,72.4,3.8579745,60.91160300925925,0.053286940607734805
2024-12,67.2,2.975715666666667,61.41780094149294,0.044281483134920634
2025-01,69.3,2.722257,48.22231182795699,0.03928220779220779
2025-02,58.0,10.690270333333334,91.34458581349206,0.18431500574712645
2025-03,61.0,3.4077566666666668,61.78833109318997,0.05586486338797814
2025-04,53.1,4.606722166666667,88.82251388888889,0.08675559635907093
